rank,run-dir,plan-id,bbar,hbar,done,return-cost,predicted-q,physical-q,residual-q,error
477,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-429_20260614T024928,mpc-1336-12-lambda-0.322,0.32183561504665903,0.17922831825912092,False,143.02650451660156,203.74392700195312,10.155723571777344,193.58819580078125,60.71742248535156
478,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-33_20260614T204532,mpc-905-10-lambda-0.691,0.6908273051228276,0.8045990271434925,False,244.91897583007812,203.9461669921875,109.98157501220703,93.96459197998047,-40.972808837890625
479,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-347_20260614T023755,mpc-2226-20-lambda-0.016,0.015861961933924522,0.4485358228572554,False,147.4874267578125,203.95263671875,12.046956062316895,191.9056854248047,56.4652099609375
480,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-40_20260614T204610,mpc-175-1-lambda-0.39,0.39027021425278113,0.8090074910606234,True,107.42241668701172,204.81692504882812,70.5515365600586,134.265380859375,97.3945083618164
481,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-467_20260614T025519,mpc-1280-14-lambda-0.197,0.19714186148328353,0.34343415157603757,False,209.15061950683594,204.90602111816406,14.620387077331543,190.28562927246094,-4.244598388671875
482,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-41_20260614T015747,mpc-2020-19-lambda-0.3,0.2997799471071829,0.3906858331452937,False,219.71498107910156,205.1121826171875,20.533552169799805,184.57862854003906,-14.602798461914062
483,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-332_20260614T212530,mpc-1132-10-lambda-0.792,0.7920786259433596,0.5857941254743443,False,194.2274627685547,205.29786682128906,77.56874084472656,127.7291259765625,11.070404052734375
484,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-189_20260614T021734,mpc-859-8-lambda-0.737,0.7367031391219426,0.02744002391458794,False,117.43729400634766,205.7694091796875,3.094111204147339,202.67529296875,88.33211517333984
485,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-264_20260614T211644,mpc-1247-12-lambda-0.507,0.507489245390511,0.6070311814731147,False,192.7765655517578,205.88906860351562,54.945960998535156,150.943115234375,13.112503051757812
486,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-53_20260613T234112,mpc-975-11-lambda-0.048,0.047992391863597765,0.4289601346473159,False,93.17425537109375,206.36782836914062,11.774947166442871,194.59288024902344,113.19357299804688
487,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-257_20260614T022606,mpc-933-11-lambda-0.391,0.391087867509766,0.46019761791013064,False,271.2850036621094,207.70205688476562,30.639034271240234,177.06301879882812,-63.58294677734375
488,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-394_20260614T213444,mpc-360-2-lambda-0.068,0.06754919002660917,0.8365774839293678,False,151.33291625976562,208.95684814453125,27.175270080566406,181.78158569335938,57.623931884765625
489,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-79_20260614T205138,mpc-1549-15-lambda-0.895,0.8949513804031232,0.023638726185041085,False,188.79600524902344,209.52630615234375,2.976637601852417,206.54966735839844,20.730300903320312
490,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-187_20260614T021727,mpc-790-7-lambda-0.687,0.6866179372693997,0.746441187036361,True,89.07357025146484,209.67666625976562,86.4204330444336,123.25623321533203,120.60309600830078
491,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-307_20260614T212219,mpc-943-6-lambda-0.331,0.3305644530488372,0.5988265141161702,False,285.37548828125,209.77171325683594,39.6097412109375,170.16197204589844,-75.60377502441406
492,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-90_20260614T020433,mpc-997-11-lambda-0.787,0.7874428740023458,0.936722629330619,False,255.6861572265625,209.8639373779297,143.4904327392578,66.37350463867188,-45.82221984863281
493,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-528_20260614T030346,mpc-1598-20-lambda-0.387,0.38728479110357933,0.03211135005668458,False,96.68289184570312,209.87979125976562,2.601980686187744,207.27781677246094,113.1968994140625
494,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-5_20260613T233433,mpc-2055-24-lambda-0.892,0.8920849944850157,0.19626713628934406,False,213.5249786376953,210.00469970703125,18.455720901489258,191.54898071289062,-3.5202789306640625
495,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-220_20260614T022118,mpc-58-2-lambda-0.025,0.02483560240460611,0.6761528055624436,False,182.34405517578125,210.16244506835938,16.81922721862793,193.3432159423828,27.818389892578125
496,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-245_20260614T211411,mpc-1196-13-lambda-0.335,0.33542758766946623,0.9801859143166952,True,108.53887939453125,210.5008544921875,84.00199127197266,126.49886322021484,101.96197509765625
497,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-406_20260614T024600,mpc-339-2-lambda-0.122,0.12213669874111827,0.3494196907344431,False,266.7430114746094,210.68690490722656,12.314348220825195,198.37255859375,-56.05610656738281
