snapshot_index,snapshot_name,snapshot_dir,status,goal_reached,total_steps,completion_time_s,solver_compute_time_s,environment_step_wall_time_s,total_wall_time_s,torque_abs_integral_nm_s,torque_signed_integral_nm_s,mean_abs_torque_nm,rl_segments,mean_bbar,mean_hbar,mean_burst_steps,mean_horizon_steps,final_theta_rad,final_omega_rad_s
50,online-critic_20260630T203402206809,artifacts/model-snapshots/online-critic_20260630T203402206809,max_steps_reached,False,3000,30.0,31.54714310358395,0.19293460648623295,33.744728416000726,0.0,0.0,0.0,3000,0.2016416666666667,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
51,online-critic_20260630T203444452483,artifacts/model-snapshots/online-critic_20260630T203444452483,max_steps_reached,False,3000,30.0,33.55987131089205,0.2035301665600855,36.00668554101139,0.0,0.0,0.0,3000,0.6025333333333333,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
52,online-critic_20260630T203458708953,artifacts/model-snapshots/online-critic_20260630T203458708953,max_steps_reached,False,3000,30.0,40.81067624260322,0.24659505518502556,44.02325770800235,0.0,0.0,0.0,3000,0.005616666666666667,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
53,online-critic_20260630T203532188533,artifacts/model-snapshots/online-critic_20260630T203532188533,max_steps_reached,False,3000,30.0,32.55028860265156,0.20673011281178333,34.98643804198946,0.0,0.0,0.0,3000,0.5664333333333333,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
54,online-critic_20260630T203552915567,artifacts/model-snapshots/online-critic_20260630T203552915567,max_steps_reached,False,3000,30.0,32.45093630897463,0.19612551530008204,34.939994958025636,0.0,0.0,0.0,3000,0.033316666666666675,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
55,online-critic_20260630T203644240502,artifacts/model-snapshots/online-critic_20260630T203644240502,max_steps_reached,False,3000,30.0,32.61810779335792,0.18324221353395842,34.81693820899818,0.0,0.0,0.0,3000,0.29285,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
56,online-critic_20260630T203719147439,artifacts/model-snapshots/online-critic_20260630T203719147439,max_steps_reached,False,3000,30.0,32.21964756742818,0.18014446564484388,34.36385020799935,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
57,online-critic_20260630T203749782729,artifacts/model-snapshots/online-critic_20260630T203749782729,max_steps_reached,False,3000,30.0,31.866329901880817,0.17344099067850038,33.95347754197428,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
58,online-critic_20260630T203844467200,artifacts/model-snapshots/online-critic_20260630T203844467200,max_steps_reached,False,3000,30.0,31.36221623592428,0.17098908795742318,33.42289595899638,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
59,online-critic_20260630T203910297269,artifacts/model-snapshots/online-critic_20260630T203910297269,max_steps_reached,False,3000,30.0,32.34386188274948,0.18084550934145227,34.485139625001466,0.0,0.0,0.0,3000,0.2028416666666667,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
60,online-critic_20260630T203947775433,artifacts/model-snapshots/online-critic_20260630T203947775433,max_steps_reached,False,3000,30.0,32.51312857778976,0.18233456427697092,34.66692166699795,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
61,online-critic_20260630T204027096295,artifacts/model-snapshots/online-critic_20260630T204027096295,max_steps_reached,False,3000,30.0,32.64852201609756,0.17615515034412965,34.805625916982535,0.5299959500150905,0.48999774522962997,0.01766653166716968,2682,0.03745339299030575,0.0012583892617449664,1.0,1.231916480238628,3.430303651552013,4.858728790772531
62,online-critic_20260630T204056204613,artifacts/model-snapshots/online-critic_20260630T204056204613,max_steps_reached,False,3000,30.0,30.22653798336978,0.1683222300489433,32.02070041699335,0.4955710504592708,0.49255084486054646,0.016519035015309026,2185,0.015205949656750572,0.004954233409610985,1.0,1.9661327231121282,4.0721692523949535,3.985803064075203
63,online-critic_20260630T204128933294,artifacts/model-snapshots/online-critic_20260630T204128933294,max_steps_reached,False,3000,30.0,20.074927370180376,0.14388149353908375,21.1995113750163,0.7457290815466887,0.07426940635168498,0.02485763605155629,1174,0.0706984667802385,0.013373083475298128,1.0,3.610732538330494,3.3516960106338023,4.96052437419335
64,online-critic_20260630T204152753211,artifacts/model-snapshots/online-critic_20260630T204152753211,max_steps_reached,False,3000,30.0,36.69807104903157,0.1993423865060322,39.022486416011816,0.0,0.0,0.0,3000,0.02576666666666667,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
65,online-critic_20260630T204209704685,artifacts/model-snapshots/online-critic_20260630T204209704685,max_steps_reached,False,3000,30.0,36.69311966851819,0.19776982115581632,39.02925466702436,0.0,0.0,0.0,3000,0.07046666666666668,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
66,online-critic_20260630T204236010636,artifacts/model-snapshots/online-critic_20260630T204236010636,max_steps_reached,False,3000,30.0,34.92469795935904,0.18605184837360866,37.043412208004156,0.12999018493883707,0.12999018493883707,0.004333006164627902,2933,0.0631691101261507,0.00013637913399249915,1.0,1.0228435049437437,4.258867820492548,-3.001167672202032
67,online-critic_20260630T204309278411,artifacts/model-snapshots/online-critic_20260630T204309278411,max_steps_reached,False,3000,30.0,34.71993732365081,0.17874819051939994,36.79412466697977,0.11997511648443912,0.11997511648443912,0.003999170549481304,2952,0.10493733062330622,0.00010162601626016262,1.0,1.016260162601626,4.2089730848905935,-3.131026859438499
68,online-critic_20260630T204330783218,artifacts/model-snapshots/online-critic_20260630T204330783218,max_steps_reached,False,3000,30.0,36.31462285373709,0.19743436895078048,38.769545333023416,0.0,0.0,0.0,3000,0.012941666666666667,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
69,online-critic_20260630T204412333042,artifacts/model-snapshots/online-critic_20260630T204412333042,max_steps_reached,False,3000,30.0,24.743347927025752,0.17743730056099594,26.416398500005016,0.6550763783720542,0.28926442909118544,0.021835879279068476,1568,0.018223852040816328,0.007764668367346939,1.0,2.510204081632653,3.810024612338931,4.487531217422601
70,online-critic_20260630T204444697264,artifacts/model-snapshots/online-critic_20260630T204444697264,max_steps_reached,False,3000,30.0,19.833269111288246,0.15420142209040932,20.99370670801727,0.8245227919910354,0.20652160605872383,0.027484093066367846,1087,0.06973321067157313,0.014581416743330267,1.0,3.8362465501379943,3.0683833304957484,5.003467066297992
71,online-critic_20260630T204526587616,artifacts/model-snapshots/online-critic_20260630T204526587616,max_steps_reached,False,3000,30.0,29.376450645911973,0.18441325408639386,31.296751916001085,0.4299993161569563,0.4299993161569563,0.01433331053856521,1840,0.3125815217391305,0.008695652173913044,1.0,2.716304347826087,4.406903861239251,3.144504916648181
72,online-critic_20260630T204558921839,artifacts/model-snapshots/online-critic_20260630T204558921839,max_steps_reached,False,3000,30.0,24.895752746902872,0.16855346926604398,26.403401292016497,0.5060721012451624,0.35389577851708637,0.016869070041505414,1771,0.3055194805194805,0.006027667984189724,1.002258610954263,2.178994918125353,4.137850376147977,3.7663582158730717
73,online-critic_20260630T204639900793,artifacts/model-snapshots/online-critic_20260630T204639900793,max_steps_reached,False,3000,30.0,16.594039924559183,0.14102737410576083,17.60710554200341,0.9178323451909363,0.35042995063313226,0.030594411506364542,1088,0.2946231617647059,0.009237132352941177,1.052389705882353,2.8125,4.60111887764054,2.359375381878356
74,online-critic_20260630T204714260648,artifacts/model-snapshots/online-critic_20260630T204714260648,max_steps_reached,False,3000,30.0,24.64689009473659,0.1676237379142549,26.211743042018497,1.0686759378109703,0.34610895866696056,0.03562253126036567,1852,0.18848542116630668,0.0033342332613390934,1.0259179265658747,1.6344492440604752,4.517716098925496,2.7009156610150677
75,online-critic_20260630T204800079323,artifacts/model-snapshots/online-critic_20260630T204800079323,max_steps_reached,False,3000,30.0,25.86256250203587,0.15558487689122558,27.32251779199578,0.5799973612897946,0.5799973612897946,0.01933324537632649,1467,0.20703817314246764,0.015405589638718475,1.0006816632583504,4.057941376959782,3.6340284580622604,4.719603201631219
76,online-critic_20260630T204835648330,artifacts/model-snapshots/online-critic_20260630T204835648330,max_steps_reached,False,3000,30.0,35.58388730121078,0.2056115426530596,37.79582008300349,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
